Date	Price	Open	High	Low	Vol.	Close	Change %	
"Jan 05, 2021"	22	20	22	20	21.10K	21.946	9.73%	
"Jan 04, 2021"	20.05	23.25	23.25	20.05	151.00K	20.267025	-12.83%	
"Dec 31, 2020"	23	26.5	26.5	23	1.47M	22.99935	-13.21%	
"Dec 30, 2020"	26.5	27	27	26.5	2.11M	26.5005	-1.85%	
"Dec 29, 2020"	27	27	27	27	1.22M	28.0395	3.85%	
"Dec 28, 2020"	26	25	26	25	152.10K	26.0525	4.21%	
"Dec 24, 2020"	24.95	25	25	24.95	638.00K	24.95	-0.20%	
"Dec 23, 2020"	25	30	30	25	648.90K	30	0.00%	
"Dec 21, 2020"	25	25.2	25.2	25	2.62M	25.0992	-0.40%	
"Dec 18, 2020"	25.1	25	25.1	25	660.90K	25.1	0.40%	
"Dec 17, 2020"	25	24.5	25	24.5	409.50K	24.5	0.00%	
"Dec 16, 2020"	25	23	25	23	162.40K	25.001	8.70%	
"Dec 15, 2020"	23	23	23	23	361.90K	23	0.00%	
"Dec 14, 2020"	23	23.4	23.4	23	145.60K	23.4	0.00%	
"Dec 11, 2020"	23	23	23	23	815.70K	22.5101	-2.13%	
"Dec 10, 2020"	23.5	24.5	24.5	23.5	61.10K	23.93895	-2.29%	
"Dec 09, 2020"	24.05	24	24.05	24	1.74M	24.0504	0.21%	
"Dec 08, 2020"	24	23	24	23	631.20K	25.0907	9.09%	
"Dec 07, 2020"	22	20.5	22	20.5	273.40K	22.3819	9.18%	
"Dec 04, 2020"	20.15	22.5	22.5	20.15	75.60K	22.44375	-0.25%	
"Dec 03, 2020"	20.2	19.3	20.2	19.3	469.30K	20.51976	6.32%	
"Dec 02, 2020"	19	17.55	19	17.55	57.50K	19.1646	9.20%	
"Dec 01, 2020"	17.4	17.3	17.4	17.3	82.80K	17.45051	0.87%	
"Nov 30, 2020"	17.25	17.4	17.4	17.25	2.62M	17.25036	-0.86%	
"Nov 27, 2020"	17.4	17.4	17.4	17.4	582.80K	17.4	0.00%	
"Nov 26, 2020"	17.4	18	18	17.4	344.30K	16.4844	-8.42%	
"Nov 25, 2020"	19	19.3	19.3	19	40.40K	19.40229	0.53%	
"Nov 24, 2020"	18.9	20	20	18.9	189.20K	17.182	-14.09%	
"Nov 23, 2020"	22	22.9	22.9	22	136.40K	22.9	0.00%	
"Nov 20, 2020"	22	24	24	22	217.00K	22.0464	-8.14%	
"Nov 19, 2020"	23.95	24	24	23.95	1.91M	24.8304	3.46%	
"Nov 18, 2020"	23.15	22.5	23.15	22.5	158.20K	25.10325	11.57%	
"Nov 17, 2020"	20.75	18	20.75	18	56.70K	20.7504	15.28%	
"Nov 16, 2020"	18	17	18	17	407.70K	17.9996	5.88%	
"Nov 13, 2020"	17	18	18	17	417.90K	18	0.00%	
"Nov 12, 2020"	17	16	17	16	1.27M	17.5488	9.68%	
"Nov 11, 2020"	15.5	15.5	15.5	15.5	98.20K	16.2874	5.08%	
"Nov 10, 2020"	14.75	15	15	14.75	2.21M	15	0.00%	
"Nov 09, 2020"	14.75	15	15	14.75	570.00K	15	0.00%	
"Nov 06, 2020"	14.75	14.8	14.8	14.75	1.21M	14.8	0.00%	
"Nov 05, 2020"	14.75	14.75	14.75	14.75	2.90M	14.75	0.00%	
"Nov 04, 2020"	14.75	14.8	14.8	14.75	202.70K	14.8	0.00%	
"Nov 03, 2020"	14.75	14.9	14.9	14.75	323.20K	14.84934	-0.34%	
"Nov 02, 2020"	14.8	14.8	14.8	14.8	28.60K	14.8	0.00%	
